player_id,first_name,last_name,team name,oppenent team name,total points predicted
485,Oliver,McBurnie,Sheffield Utd,Brighton,1.484
486,Iliman,Ndiaye,Sheffield Utd,Brighton,0.282
487,Rhys,Norrington-Davies,Sheffield Utd,Brighton,0.364
488,Oliver,Norwood,Sheffield Utd,Brighton,1.379
489,Ben,Osborn,Sheffield Utd,Brighton,0.699
490,William,Osula,Sheffield Utd,Brighton,0.282
491,Brandon,Austin,Spurs,Wolves,0.445
492,Rodrigo,Bentancur,Spurs,Wolves,0.617
493,Yves,Bissouma,Spurs,Wolves,1.553
494,Bryan,Gil Salvatierra,Spurs,Wolves,0.551
495,Ben,Davies,Spurs,Wolves,1.044
496,Eric,Dier,Spurs,Wolves,1.285
497,Emerson,Leite de Souza Junior,Spurs,Wolves,1.086
498,Fraser,Forster,Spurs,Wolves,0.445
499,Pierre-Emile,Højbjerg,Spurs,Wolves,1.103
500,Harry,Kane,Spurs,Wolves,0.488
501,Dejan,Kulusevski,Spurs,Wolves,1.982
502,Hugo,Lloris,Spurs,Wolves,0.445
503,Giovani,Lo Celso,Spurs,Wolves,0.627
504,James,Maddison,Spurs,Wolves,2.367
